ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
4,25,259.46945337620576,822.6816720257235,0,25
4,26,280.2796208530806,829.2843601895735,0,26
4,27,489.780303030303,827.1136363636364,0,27
4,28,515.620320855615,827.5935828877006,0,28
4,29,244.4300518134715,839.7823834196892,0,29
4,30,299.52763819095475,843.0552763819095,0,30
4,31,549.7431506849315,845.3698630136986,0,31
4,32,526.792270531401,847.6473429951691,0,32
4,33,507.29323308270676,855.7744360902255,0,33
4,34,280.20728929384967,857.6924829157175,0,34
4,35,577.8055555555555,857.75,0,35
4,36,257.47752808988764,863.0955056179776,0,36
4,37,315.2325581395349,865.9767441860465,0,37
4,38,535.5144230769231,868.3605769230769,0,38
4,39,562.6281407035176,874.1005025125628,0,39
4,40,294.83474576271186,885.3093220338983,0,40
4,41,323.37068965517244,890.0431034482758,0,41
4,42,321.86617100371745,910.8141263940521,0,42
4,43,349.7448559670782,925.3086419753087,0,43
5,1,609.668918918919,59.88175675675676,0,1
5,2,564.177700348432,64.57142857142857,0,2
5,3,591.935975609756,72.8689024390244,0,3
5,4,615.6070175438597,90.89473684210526,0,4
5,5,585.0609318996416,97.95698924731182,0,5
5,6,654.7191489361702,96.9063829787234,0,6
5,7,633.8661710037175,107.49814126394052,0,7
5,8,675.8497652582159,116.74647887323944,0,8
5,9,658.9676113360324,127.2753036437247,0,9
5,10,154.95744680851064,223.23829787234044,0,10
5,11,895.9478527607362,248.00920245398774,0,11
5,12,168.40983606557376,250.94098360655738,0,12
5,13,917.7051671732523,276.8449848024316,0,13
5,14,689.9515151515152,284.75151515151515,0,14
5,15,713.5170454545455,290.0511363636364,0,15
5,16,319.0148367952522,345.1572700296736,0,16
5,17,284.64,362.4307692307692,0,17
5,18,305.7699115044248,368.84513274336285,0,18
5,19,335.25206611570246,366.0702479338843,0,19
5,20,288.872,543.6,0,20
5,21,381.4182509505703,545.2661596958175,0,21
5,22,315.78761061946904,555.7035398230089,0,22
5,23,408.7015503875969,559.7403100775193,0,23
5,24,345.83812949640287,561.1330935251799,0,24
5,25,375.672,564.628,0,25
5,26,263.4621409921671,827.4569190600522,0,26
5,27,232.78571428571428,829.7645502645503,0,27
5,28,241.058495821727,853.8077994428969,0,28
5,29,260.9148936170213,880.0186170212766,0,29
5,30,423.82267441860466,909.5668604651163,0,30
5,31,444.4095744680851,912.8856382978723,0,31
5,32,396.0449735449736,935.4153439153439,0,32
5,33,418.48655256723714,947.7261613691932,0,33
6,1,281.575,206.27916666666667,0,1
6,2,644.4362745098039,211.80392156862746,0,2
6,3,302.0,227.1290322580645,0,3
6,4,114.87906976744186,228.6139534883721,0,4
6,5,145.864768683274,228.97508896797154,0,5
6,6,663.1181818181818,232.24545454545455,0,6
6,7,900.606779661017,321.8949152542373,0,7
6,8,768.0886524822695,332.4148936170213,0,8
6,9,738.2982456140351,336.33684210526314,0,9
6,10,524.2579365079365,343.56349206349205,0,10
6,11,912.175,350.8208333333333,0,11
6,12,541.5816326530612,353.98979591836735,0,12
6,13,514.0429184549356,371.54935622317595,0,13
6,14,560.4194915254237,371.52542372881356,0,14
6,15,534.7386934673367,377.03015075376885,0,15
6,16,552.527950310559,397.85714285714283,0,16
6,17,576.34375,395.55078125,0,17
